Topic,Sentiment,TweetId,TweetDate,TweetText
twitter,irrelevant,126866905096130560,Thu Oct 20 03:46:41 +0000 2011,Ninguem fala cmgo no #Twitter!
microsoft,neutral,126704776506380288,Wed Oct 19 17:02:27 +0000 2011,Two Extremes of Touch Interaction #Microsoft #future #fb http://t.co/Di9QkGa5
microsoft,neutral,126514187647201280,Wed Oct 19 04:25:07 +0000 2011,Should #Microsoft and #Google design their software for mobile devices with two screens?
twitter,negative,126872316142559232,Thu Oct 20 04:08:12 +0000 2011,#twitter show my fuckin retweets bitch
twitter,irrelevant,126867000030007296,Thu Oct 20 03:47:04 +0000 2011,"jajajajaja PTM!! Gigo, si tuvieras #Twitter llegaría a poner todas las idioteces que dices jajajajaja #EpicWin!"
apple,irrelevant,126355573586399232,Tue Oct 18 17:54:50 +0000 2011,Kan @Samsung och @Apple sluta slåss om kunderna i rättssalen och med världens bästa produkter istället så blir det mycket bättre!
twitter,neutral,126864491890749440,Thu Oct 20 03:37:06 +0000 2011,#Twitter #NYERRR
microsoft,neutral,126616809079193600,Wed Oct 19 11:12:54 +0000 2011,"@MrRobinson ""hard for"" balms ""to get excited over Android phones"" because #Microsoft isn't collecting enough royalties yet. #isaidit"
apple,neutral,126357527196741632,Tue Oct 18 18:02:36 +0000 2011,@apple Or @Microsoft Buying Out @RIM ?
google,positive,126493265661919232,Wed Oct 19 03:01:59 +0000 2011,yumyumyum...I want Ice Cream Sandwich... #google #android
google,neutral,126492735598366720,Wed Oct 19 02:59:52 +0000 2011,Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/HHfJbBHU #neowin
twitter,irrelevant,126880015357984768,Thu Oct 20 04:38:47 +0000 2011,"@_kellykatiucia q nada vc q é linda mesmo! :)  só no me lenbro o dia q eu segui vc, Mais ta bom, mais uma pessoal especial no meu #Twitter:)"
microsoft,irrelevant,126780041857216512,Wed Oct 19 22:01:32 +0000 2011,Die #Apple Story heute Abend in #DOK auf #SF1 war ziemlich beeindruckend R.I.P. #Stevejobs - doch wo wäre Apple heute ohne #Microsoft ?
apple,irrelevant,126005063595466753,Mon Oct 17 18:42:02 +0000 2011,Lekkere garantie volgens #radar bij @apple. #Ned1
google,neutral,126486941364527104,Wed Oct 19 02:36:51 +0000 2011,"Addicted to this new game #tripletown on #Google+,"
twitter,neutral,126862573697114112,Thu Oct 20 03:29:29 +0000 2011,#Twitter #Off'
